iter	Passed	Remaining
0	71	35673
1	86	21655
2	101	16736
3	115	14341
4	129	12813
5	146	12059
6	160	11304
7	176	10829
8	188	10288
9	203	9988
10	218	9713
11	226	9231
12	241	9046
13	257	8924
14	272	8812
15	289	8742
16	304	8644
17	318	8537
18	332	8407
19	346	8325
20	361	8251
21	374	8142
22	388	8062
23	403	7996
24	416	7916
25	431	7867
26	446	7819
27	454	7659
28	469	7617
29	486	7615
30	503	7619
31	519	7603
32	535	7581
33	549	7528
34	562	7472
35	576	7425
36	589	7378
37	604	7344
38	611	7233
39	624	7186
40	637	7140
41	652	7115
42	665	7070
43	678	7027
44	693	7011
45	706	6977
46	720	6945
47	732	6901
48	746	6874
49	760	6842
50	774	6817
51	787	6788
52	802	6771
53	815	6738
54	828	6704
55	841	6668
56	853	6631
57	866	6600
58	878	6564
59	892	6543
60	906	6521
61	918	6486
62	930	6456
63	943	6427
64	957	6407
65	968	6371
66	980	6338
67	994	6320
68	1007	6295
69	1022	6281
70	1037	6269
71	1050	6242
72	1063	6219
73	1077	6203
74	1095	6210
75	1111	6202
76	1125	6180
77	1138	6161
78	1151	6138
79	1164	6111
80	1176	6085
81	1188	6059
82	1203	6047
83	1217	6027
84	1230	6006
85	1244	5989
86	1258	5972
87	1271	5952
88	1284	5932
89	1299	5919
90	1313	5905
91	1321	5860
92	1335	5843
93	1348	5823
94	1361	5804
95	1374	5783
96	1388	5768
97	1401	5748
98	1413	5727
99	1428	5714
100	1441	5693
101	1454	5676
102	1468	5659
103	1481	5640
104	1495	5625
105	1509	5611
106	1522	5591
107	1537	5579
108	1550	5561
109	1563	5543
110	1577	5528
111	1591	5514
112	1605	5499
113	1619	5484
114	1634	5470
115	1648	5458
116	1662	5443
117	1675	5425
118	1689	5407
119	1703	5393
120	1717	5378
121	1733	5370
122	1746	5352
123	1761	5341
124	1774	5323
125	1789	5311
126	1802	5293
127	1816	5277
128	1830	5264
129	1844	5248
130	1857	5233
131	1871	5217
132	1884	5200
133	1899	5187
134	1913	5173
135	1926	5157
